JournalNumber,JournalDate,AccountName,NetAmount,TaxCode,Resource,Product,Reference,Description
1,23-Nov-10,Sales,-36000,Tax on Sales,,,INV-0001,Charger-baisikeli
1,23-Nov-10,Accounts Receivable,18000,,,,INV-0001,
1,23-Nov-10,Accounts Receivable,18000,,,,,
2,23-Nov-10,Sales,18000,Tax on Sales,,,INV-0001,Charger-baisikeli
2,23-Nov-10,Accounts Receivable,-36000,,,,INV-0001,
2,23-Nov-10,Accounts Receivable,18000,,,,,
3,23-Nov-10,Sales,-30000,Tax on Sales,,,INV-0001,Charger-baisikeli (distributor price)
3,23-Nov-10,Accounts Receivable,15000,,,,INV-0001,
3,23-Nov-10,Accounts Receivable,15000,,,,,
4,4-Dec-10,Accounts Receivable,-5000,,,,,
4,4-Dec-10,Sales,10000,,,,,
4,4-Dec-10,Accounts Receivable,-5000,,,,,
5,23-Nov-10,Sales,30000,Tax on Sales,,,INV-0001,Charger-baisikeli (distributor price)
5,23-Nov-10,Accounts Receivable,-30000,,,,INV-0001,
6,23-Nov-10,Sales,-30000,Tax on Sales,John,,INV-0001,Charger-baisikeli (distributor price)
6,23-Nov-10,Accounts Receivable,30000,,John,,INV-0001,
7,4-Dec-10,Accounts Receivable,10000,,,,,
7,4-Dec-10,Sales,-10000,,,,,
8,4-Dec-10,Accounts Receivable,-10000,,John,,,
8,4-Dec-10,Sales,10000,,John,,,
9,14-Dec-10,Petty Cash (TZS),-5000,,,,,
9,14-Dec-10,Sales: John (TZS),5000,,,,,
8358,27-Dec-10,Sales,-113000,Tax on Sales,John,Baisikeli,INV-0198,Bicycle
8358,27-Dec-10,Sales,-85000,Tax on Sales,John,Mashine-Baisikeli,INV-0198,"Bicycle Maize Sheller Complete (Sheller, Sprockets, Chain, Frame, Rack, Stand)"
8358,27-Dec-10,Sales,-12000,Tax on Sales,John,Charger-Baisikeli-Kiwia,INV-0198,Phone Charger - Bicycle
8358,27-Dec-10,Sales,-8000,Tax on Sales,John,Charger-Pikipiki,INV-0198,Phone Charger - Motorcycle
8358,27-Dec-10,Accounts Receivable,12000,,John,Charger-Baisikeli-Kiwia,INV-0198,
8358,27-Dec-10,Accounts Receivable,113000,,John,Baisikeli,INV-0198,
8358,27-Dec-10,Accounts Receivable,85000,,John,Mashine-Baisikeli,INV-0198,
8358,27-Dec-10,Accounts Receivable,8000,,John,Charger-Pikipiki,INV-0198,
